SRC	TRG	PINYIN_STR	PINYIN_CHAR
v a n z i	万 齐	wan qi	w a n q i
b a u	鲍	bao	b a o
z e n o	泽 诺	ze nuo	z e n u o
f r a i d i n	弗 雷 丁	fu lei ding	f u l e i d i n g
g u r l a n d	格 兰	ge lan	g e l a n
c h a r l e y	查 利	cha li	c h a l i
b a r l e t t a	巴 莱 塔	ba lai ta	b a l a i t a
h o r s f i e l d	霍 斯 菲 尔 德	huo si fei er de	h u o s i f e i e r d e
c l u n g	克 朗	ke lang	k e l a n g
r i g g e r s	里 格 斯	li ge si	l i g e s i
p a d r i c k	帕 德 里 克	pa de li ke	p a d e l i k e
s e e s c h a f	西 沙 夫	xi sha fu	x i s h a f u
n e a v e r s o n	尼 弗 森	ni fu sen	n i f u s e n
t h a r n h a m	撒 纳 姆	sa na mu	s a n a m u
s t e i n	斯 坦	si tan	s i t a n
r u m m e l l	拉 梅 尔	la mei er	l a m e i e r
h a r r y h y n d	哈 里 欣 德	ha li xin de	h a l i x i n d e
l a y i n k a	莱 因 卡	lai yin ka	l a i y i n k a
b i r c h	伯 奇	bo qi	b o q i
h u m m e l	赫 梅 尔	he mei er	h e m e i e r
p h i l b r o o k	菲 尔 布 鲁 克	fei er bu lu ke	f e i e r b u l u k e
m c o s t r i c h	麦 科 斯 特 里 奇	mai ke si te li qi	m a i k e s i t e l i q i
w i g g i n	威 金	wei jin	w e i j i n
m o r v e n	莫 文	mo wen	m o w e n
k o r b	科 布	ke bu	k e b u
b o o k h a r d t	布 克 哈 特	bu ke ha te	b u k e h a t e
s l a t t e r	斯 拉 特	si la te	s i l a t e
h o f e l d t	霍 费 尔 特	huo fei er te	h u o f e i e r t e
f a n t o n	范 东	fan dong	f a n d o n g
k e l l e r m a n n	凯 勒 曼	kai le man	k a i l e m a n
c r o n a s	克 罗 纳 斯	ke luo na si	k e l u o n a s i
s o u t h e n d	索 森 德	suo sen de	s u o s e n d e
e t c h e s o n	艾 奇 逊	ai qi xun	a i q i x u n
b o u r q u e	布 尔 克	bu er ke	b u e r k e
h a m r i c	哈 姆 里 克	ha mu li ke	h a m u l i k e
k u r l a n d e r	库 兰 德	ku lan de	k u l a n d e
p u l l e i n	普 莱 恩	pu lai en	p u l a i e n
m e i g h e r	迈 格	mai ge	m a i g e
b a k e r	贝 克	bei ke	b e i k e
o m o r c h o e	奥 马 罗	ao ma luo	a o m a l u o
d u m i a u x	杜 米 奥	du mi ao	d u m i a o
b u r r o u g h s	伯 勒 斯	bo le si	b o l e s i
m i c h e l s e n	米 切 尔 森	mi qie er sen	m i q i e e r s e n
l o g u e	洛 格	luo ge	l u o g e
a a r o n s	阿 伦 斯	a lun si	a l u n s i
t r e v i l l i a n	特 雷 维 利 安	te lei wei li an	t e l e i w e i l i a n
h o b m a n	霍 布 曼	huo bu man	h u o b u m a n
h u s t o n	休 斯 顿	xiu si dun	x i u s i d u n
b u t e a u	布 托	bu tuo	b u t u o
l e i b a c h	莱 巴 克	lai ba ke	l a i b a k e
l e m a n n	莱 曼	lai man	l a i m a n
y a n k w i c h	扬 克 维 奇	yang ke wei qi	y a n g k e w e i q i
w i l c o x e n	威 尔 科 克 森	wei er ke ke sen	w e i e r k e k e s e n
r u b e n s t e i n	鲁 本 斯 坦	lu ben si tan	l u b e n s i t a n
g a i l i u s	盖 柳 斯	gai liu si	g a i l i u s i
n e t t e l s	内 特 尔 斯	nei te er si	n e i t e e r s i
m o n s l o w	蒙 斯 洛	meng si luo	m e n g s i l u o
o r o w a n	奥 罗 万	ao luo wan	a o l u o w a n
e s m o n d e	埃 斯 蒙 德	ai si meng de	a i s i m e n g d e
k i n g m a n	金 曼	jin man	j i n m a n
b r e a k s t o n e	布 雷 克 斯 通	bu lei ke si tong	b u l e i k e s i t o n g
w h i f f i n g	威 芬	wei fen	w e i f e n
w i l d e m a n	怀 尔 德 曼	huai er de man	h u a i e r d e m a n
j a n a s	贾 纳 斯	jia na si	j i a n a s i
m u l i n o s	穆 利 诺 斯	mu li nuo si	m u l i n u o s i
r e i n g o l d	莱 因 戈 尔 德	lai yin ge er de	l a i y i n g e e r d e
k i n g s l a k e	金 斯 莱 克	jin si lai ke	j i n s i l a i k e
r o u g h t o n	拉 夫 顿	la fu dun	l a f u d u n
s e e b a c h e r	西 巴 克	xi ba ke	x i b a k e
m a t h e r s	马 瑟 斯	ma se si	m a s e s i
a t k e s o n	阿 特 基 森	a te ji sen	a t e j i s e n
s l a v e t	斯 拉 夫 特	si la fu te	s i l a f u t e
m u n n e r y	芒 内 里	mang nei li	m a n g n e i l i
b o y s i e	博 伊 西	bo yi xi	b o y i x i
b r u n n	布 鲁 恩	bu lu en	b u l u e n
d e r f o r d	德 福 德	de fu de	d e f u d e
b l a c k a	布 莱 卡	bu lai ka	b u l a i k a
b a i n b r i d g e	班 布 里 奇	ban bu li qi	b a n b u l i q i
k o r o b k i n	科 罗 布 金	ke luo bu jin	k e l u o b u j i n
m a u r o	莫 罗	mo luo	m o l u o
h o o s e r	胡 泽	hu ze	h u z e
d a e l e m a n s	戴 尔 曼 斯	dai er man si	d a i e r m a n s i
g o r r	戈 尔	ge er	g e e r
m e r i c k	梅 里 克	mei li ke	m e i l i k e
m a p p s	马 普 斯	ma pu si	m a p u s i
g u t t r i d g e	格 特 里 奇	ge te li qi	g e t e l i q i
s m i l l i e	斯 迈 利	si mai li	s i m a i l i
r o s t k e r	罗 斯 特 克	luo si te ke	l u o s i t e k e
c r u m p a c k e r	克 伦 帕 克	ke lun pa ke	k e l u n p a k e
p r a y	普 雷	pu lei	p u l e i
f l y n n	弗 林	fu lin	f u l i n
b o i s	博 伊 斯	bo yi si	b o y i s i
h a r c l e r o a d e	哈 克 尔 罗 德	ha ke er luo de	h a k e e r l u o d e
s w i n n e r t o n	斯 温 纳 顿	si wen na dun	s i w e n n a d u n
b a r n o u w	巴 尔 诺	ba er nuo	b a e r n u o
k e p p	凯 普	kai pu	k a i p u
p a l f r y	帕 尔 弗 里	pa er fu li	p a e r f u l i
b l a c k m u n	布 莱 克 门	bu lai ke men	b u l a i k e m e n
l i n s e n m e y e r	林 森 迈 耶	lin sen mai ye	l i n s e n m a i y e
e a s d o n	伊 斯 登	yi si deng	y i s i d e n g
a f i f i	阿 菲 菲	a fei fei	a f e i f e i
d r a k e	德 雷 克	de lei ke	d e l e i k e
o k o n o r	奥 科 纳	ao ke na	a o k e n a
s h e r e k	谢 雷 克	xie lei ke	x i e l e i k e
g r i s g o n i a	格 丽 斯 戈 尼 娅	ge li si ge ni ya	g e l i s i g e n i y a
w i t t	威 特	wei te	w e i t e
g i b n e y	吉 布 尼	ji bu ni	j i b u n i
h a i g h	黑 格	hei ge	h e i g e
b e t h a m	贝 瑟 姆	bei se mu	b e i s e m u
a r b e n a	阿 贝 纳	a bei na	a b e i n a
b a g a n z	巴 甘 兹	ba gan zi	b a g a n z i
i s m a e l	伊 斯 梅 尔	yi si mei er	y i s i m e i e r
s a u b e r g u e	索 伯 格	suo bo ge	s u o b o g e
c h a p a n i s	查 帕 尼 斯	cha pa ni si	c h a p a n i s i
n u n b u r n h o l m e	南 伯 纳 姆	nan bo na mu	n a n b o n a m u
b a r t e r	巴 特	ba te	b a t e
b e r k m a n n	伯 克 曼	bo ke man	b o k e m a n
o g g	奥 格	ao ge	a o g e
j o s i e	乔 西	qiao xi	q i a o x i
t h o m	汤 姆	tang mu	t a n g m u
d e l a r g e y	德 拉 吉	de la ji	d e l a j i
f o s b u r g	福 斯 伯 格	fu si bo ge	f u s i b o g e
r o h e n b e r g	罗 亨 伯 格	luo heng bo ge	l u o h e n g b o g e
m a f f a t	马 法 特	ma fa te	m a f a t e
e n t e m a n	恩 特 曼	en te man	e n t e m a n
m e h a f f y	梅 哈 菲	mei ha fei	m e i h a f e i
b r a u d y	布 劳 迪	bu lao di	b u l a o d i
g o n o r e	戈 诺 尔	ge nuo er	g e n u o e r
g a r t l e r	加 特 勒	jia te le	j i a t e l e
s m a r t	斯 马 特	si ma te	s i m a t e
p h i l o	菲 洛	fei luo	f e i l u o
m c c r e r y	麦 克 雷 里	mai ke lei li	m a i k e l e i l i
h e b b a r d	赫 巴 德	he ba de	h e b a d e
s t a l z e r	斯 塔 尔 泽	si ta er ze	s i t a e r z e
p a l m a n	帕 尔 曼	pa er man	p a e r m a n
m a i n w a r i n g	梅 因 沃 林	mei yin wo lin	m e i y i n w o l i n
w i g e n	威 根	wei gen	w e i g e n
t o m a s s o	托 马 索	tuo ma suo	t u o m a s u o
s h r y a n e	施 赖 恩	shi lai en	s h i l a i e n
w a t t i s	沃 蒂 斯	wo di si	w o d i s i
s a m m a r t i n o	萨 马 蒂 诺	sa ma di nuo	s a m a d i n u o
d i v i n e	迪 万	di wan	d i w a n
m i n u c i u s	米 纽 修 斯	mi niu xiu si	m i n i u x i u s i
h e r r m a n n	赫 尔 曼	he er man	h e e r m a n
l e o n h a r t	伦 哈 特	lun ha te	l u n h a t e
j u p l e y	贾 普 利	jia pu li	j i a p u l i
h o h l e n	霍 伦	huo lun	h u o l u n
e l y o t	埃 利 奥 特	ai li ao te	a i l i a o t e
s e i b e l s	塞 贝 尔 斯	sai bei er si	s a i b e i e r s i
s h o o b	舒 布	shu bu	s h u b u
p e i r s o n	皮 尔 逊	pi er xun	p i e r x u n
f a t i m a	法 蒂 玛	fa di ma	f a d i m a
r a s c o w	拉 斯 科	la si ke	l a s i k e
s u s a n n a h	苏 珊 娜	su shan na	s u s h a n n a
m a l i n o w s k i	马 利 诺 夫 斯 基	ma li nuo fu si ji	m a l i n u o f u s i j i
b u l l e r	布 勒	bu le	b u l e
n e i g h b o r	内 伯	nei bo	n e i b o
p y e	派 伊	pai yi	p a i y i
l a z a r d	拉 扎 德	la zha de	l a z h a d e
d o o d s	杜 兹	du zi	d u z i
c r i s p e n	克 里 斯 彭	ke li si peng	k e l i s i p e n g
d u f l o n	杜 弗 隆	du fu long	d u f u l o n g
r e i n e r	赖 纳	lai na	l a i n a
g r u b	格 鲁 布	ge lu bu	g e l u b u
d e m e t z	德 梅 茨	de mei ci	d e m e i c i
f r e y a	弗 雷 亚	fu lei ya	f u l e i y a
c h e m i n a n t	舍 米 南	she mi nan	s h e m i n a n
l e n t i n i	伦 蒂 尼	lun di ni	l u n d i n i
m c s h a n	麦 克 沙 恩	mai ke sha en	m a i k e s h a e n
s p i e g e l m a n	施 皮 格 尔 曼	shi pi ge er man	s h i p i g e e r m a n
f i l e r m a n	法 勒 曼	fa le man	f a l e m a n
h a m p	汉 普	han pu	h a n p u
o t h m e r	奥 思 默	ao si mo	a o s i m o
g a d g i l	加 吉 尔	jia ji er	j i a j i e r
b e r e n g a r i u s	贝 伦 格 里 厄 斯	bei lun ge li e si	b e i l u n g e l i e s i
f o r t u i n	福 泰 因	fu tai yin	f u t a i y i n
a r d i t t i	阿 迪 蒂	a di di	a d i d i
v a n d e r p l o o g	范 德 普 卢 格	fan de pu lu ge	f a n d e p u l u g e
k u y k e n d a l l	凯 肯 德 尔	kai ken de er	k a i k e n d e e r
c y r e n n e	西 伦	xi lun	x i l u n
n y h o l m	尼 霍 姆	ni huo mu	n i h u o m u
w e s b u r y	韦 斯 伯 里	wei si bo li	w e i s i b o l i
f e n n i n g e r	芬 宁 格	fen ning ge	f e n n i n g g e
f r e d m a n	弗 雷 德 曼	fu lei de man	f u l e i d e m a n
w i t c o m b	威 特 科 姆	wei te ke mu	w e i t e k e m u
b u e s s e l e r	比 塞 勒	bi sai le	b i s a i l e
m e l b y	梅 尔 比	mei er bi	m e i e r b i
f l i p p e n	弗 利 彭	fu li peng	f u l i p e n g
k u p k e	库 普 基	ku pu ji	k u p u j i
b r a m b l e t t	布 兰 布 利 特	bu lan bu li te	b u l a n b u l i t e
h e s s	赫 斯	he si	h e s i
s p i r o	斯 皮 罗	si pi luo	s i p i l u o
b r a h m s	布 拉 姆 斯	bu la mu si	b u l a m u s i
k h e d o u r i	凯 杜 里	kai du li	k a i d u l i
i s s e t t e	伊 塞 特	yi sai te	y i s a i t e
s c h o f i e l d	斯 科 菲 尔 德	si ke fei er de	s i k e f e i e r d e
s e s k i n	塞 斯 金	sai si jin	s a i s i j i n
f e n d r i c k	芬 德 里 克	fen de li ke	f e n d e l i k e
r o d i e c k	罗 迪 克	luo di ke	l u o d i k e
g o l d b l i t h	戈 德 布 利 思	ge de bu li si	g e d e b u l i s i
m a c c a l m o n t	麦 卡 尔 蒙 特	mai ka er meng te	m a i k a e r m e n g t e
c l o d u m a r	克 洛 杜 马	ke luo du ma	k e l u o d u m a
m a n o n	玛 农	ma nong	m a n o n g
s a p a n g h i l a	萨 潘 吉 拉	sa pan ji la	s a p a n j i l a
d a m a n	达 曼	da man	d a m a n
g r e s s l y	格 雷 斯 利	ge lei si li	g e l e i s i l i
c a t c h i n g s	卡 钦 斯	ka qin si	k a q i n s i
b r u s s e l	布 鲁 塞 尔	bu lu sai er	b u l u s a i e r
p o u l t e r e r	波 尔 特 勒	bo er te le	b o e r t e l e
f a u c i	福 西	fu xi	f u x i
h e m p	亨 普	heng pu	h e n g p u
s l a t t	斯 莱 特	si lai te	s i l a i t e
m a j o r i b a n k s	梅 杰 里 班 克 斯	mei jie li ban ke si	m e i j i e l i b a n k e s i
w h i t b r e a d	惠 特 布 雷 德	hui te bu lei de	h u i t e b u l e i d e
h e i n z e r l i n g	海 因 策 林	hai yin ce lin	h a i y i n c e l i n
w a s h l e y	沃 什 利	wo shi li	w o s h i l i
m a g d a	玛 格 达	ma ge da	m a g e d a
s c o b l e	斯 科 布 尔	si ke bu er	s i k e b u e r
d i c h t e l	迪 希 特 尔	di xi te er	d i x i t e e r
b l o c h e r	布 洛 克	bu luo ke	b u l u o k e
s i t t e r l e y	西 特 利	xi te li	x i t e l i
r i v e r d a l e	里 弗 代 尔	li fu dai er	l i f u d a i e r
d i e h m	迪 姆	di mu	d i m u
m e d a w a r	梅 达 沃	mei da wo	m e i d a w o
n a n o s	纳 诺 斯	na nuo si	n a n u o s i
b u s s e y	伯 西	bo xi	b o x i
r o d e n h a u s e n	罗 登 豪 森	luo deng hao sen	l u o d e n g h a o s e n
k u h l m a n	库 尔 曼	ku er man	k u e r m a n
m o i s e	莫 伊 兹	mo yi zi	m o y i z i
g i r a l d u s	吉 拉 尔 德 斯	ji la er de si	j i l a e r d e s i
k e n d a l	肯 德 尔	ken de er	k e n d e e r
t i n g e l s t a d	廷 格 尔 施 塔 德	ting ge er shi ta de	t i n g g e e r s h i t a d e
r o l l o c k	罗 洛 克	luo luo ke	l u o l u o k e
b a g d o n	巴 格 登	ba ge deng	b a g e d e n g
n a c l e r	纳 克 勒	na ke le	n a k e l e
j e r a l d	杰 拉 尔 德	jie la er de	j i e l a e r d e
j u l i a n a	朱 丽 安 娜	zhu li an na	z h u l i a n n a
t w i n	特 温	te wen	t e w e n
v o g l e r	沃 格 勒	wo ge le	w o g e l e
a r m e r	阿 默	a mo	a m o
r a m a n	拉 曼	la man	l a m a n
y e l i t y	耶 利 蒂	ye li di	y e l i d i
b r a y s h a y	布 雷 谢	bu lei xie	b u l e i x i e
s m y t h e	斯 迈 思	si mai si	s i m a i s i
w o o d e s	伍 兹	wu zi	w u z i
b e z d e k	贝 兹 德 克	bei zi de ke	b e i z i d e k e
b r a s	布 拉 斯	bu la si	b u l a s i
f a l l e	法 尔	fa er	f a e r
g i n z b e r g	金 兹 伯 格	jin zi bo ge	j i n z i b o g e
b u t t r e y	巴 特 里	ba te li	b a t e l i
g u l l a n	格 兰	ge lan	g e l a n
r a c u s i n	拉 库 津	la ku jin	l a k u j i n
c a l l y h a n	卡 利 汉	ka li han	k a l i h a n
b r o o m h a l l	布 鲁 姆 霍 尔	bu lu mu huo er	b u l u m u h u o e r
c o v e n	科 文	ke wen	k e w e n
h a l l w a r d	霍 尔 沃 德	huo er wo de	h u o e r w o d e
k a l e y	凯 莉	kai li	k a i l i
a m s h e w i t z	阿 姆 谢 维 茨	a mu xie wei ci	a m u x i e w e i c i
w i e l a n d	威 兰	wei lan	w e i l a n
c r e a s o n	克 里 森	ke li sen	k e l i s e n
k n u d s e n	克 努 森	ke nu sen	k e n u s e n
m e a c h a m	米 查 姆	mi cha mu	m i c h a m u
v a n e	文	wen	w e n
b a u g h	鲍	bao	b a o
e v a	伊 娃	yi wa	y i w a
m c l e e s	麦 克 利 斯	mai ke li si	m a i k e l i s i
a w e s	奥 斯	ao si	a o s i
b e c k i n g t o n	贝 金 顿	bei jin dun	b e i j i n d u n
t r y e	特 里	te li	t e l i
h e i l s h o r n	海 尔 肖 恩	hai er xiao en	h a i e r x i a o e n
l o h b e c h	洛 贝 克	luo bei ke	l u o b e i k e
e i e l s o n	艾 尔 森	ai er sen	a i e r s e n
m u s t e r	马 斯 特	ma si te	m a s i t e
d u n m i r e	邓 迈 尔	deng mai er	d e n g m a i e r
f u r b y	弗 比	fu bi	f u b i
e w b a n k	尤 班 克	you ban ke	y o u b a n k e
d e n n y s	丹 尼 斯	dan ni si	d a n n i s i
c h e l m e r	切 尔 默	qie er mo	q i e e r m o
s c h u l z	舒 尔 茨	shu er ci	s h u e r c i
f a n s e e n	范 西 恩	fan xi en	f a n x i e n
o s h i e l	奥 希 尔	ao xi er	a o x i e r
s i n n a t t	辛 纳 特	xin na te	x i n n a t e
m c g i v n e y	麦 吉 夫 尼	mai ji fu ni	m a i j i f u n i
b a t t	巴 特	ba te	b a t e
k a v a n a u g h	卡 瓦 诺	ka wa nuo	k a w a n u o
f i d d e s	菲 德 斯	fei de si	f e i d e s i
s p o o r	斯 普 尔	si pu er	s i p u e r
d e p a l m a	德 帕 尔 马	de pa er ma	d e p a e r m a
c h e w	丘	qiu	q i u
v a c h a	瓦 查	wa cha	w a c h a
s a s s e	萨 斯	sa si	s a s i
d u g g l e b y	达 格 尔 比	da ge er bi	d a g e e r b i
t h u i l l i e r	特 威 利 尔	te wei li er	t e w e i l i e r
c o r d a n	科 登	ke deng	k e d e n g
m a k	马 克	ma ke	m a k e
m u l l i n g e r	马 林 杰	ma lin jie	m a l i n j i e
m a r g o s i a n	马 戈 西 安	ma ge xi an	m a g e x i a n
l e m o i s n e	勒 姆 万	le mu wan	l e m u w a n
a n t u p i t	安 图 皮 特	an tu pi te	a n t u p i t e
h o l z m a n	霍 尔 兹 曼	huo er zi man	h u o e r z i m a n
f e u e r l e i n	福 伊 尔 莱 因	fu yi er lai yin	f u y i e r l a i y i n
l o u g h n a n e	洛 克 南	luo ke nan	l u o k e n a n
b a r t o l a c c i	巴 尔 托 拉 奇	ba er tuo la qi	b a e r t u o l a q i
l e m a i s t r e	勒 梅 斯 特	le mei si te	l e m e i s i t e
d e e l e y	迪 利	di li	d i l i
i s e n b e r g	伊 森 伯 格	yi sen bo ge	y i s e n b o g e
s c a l i	斯 卡 利	si ka li	s i k a l i
s w a n s t o n	斯 旺 斯 顿	si wang si dun	s i w a n g s i d u n
c u m b e r b e a c h	坎 伯 比 奇	kan bo bi qi	k a n b o b i q i
b a l l i e t t	巴 利 埃 特	ba li ai te	b a l i a i t e
r o s e m o n d	罗 斯 蒙 德	luo si meng de	l u o s i m e n g d e
c l a r i d g e	克 拉 里 奇	ke la li qi	k e l a l i q i
b o r g s t r o m	博 格 斯 特 姆	bo ge si te mu	b o g e s i t e m u
q u e e n	奎 因	kui yin	k u i y i n
f r i m l	弗 里 姆 尔	fu li mu er	f u l i m u e r
h o p k i n	霍 普 金	huo pu jin	h u o p u j i n
p r i m e	普 赖 姆	pu lai mu	p u l a i m u
s e g e l	西 格 尔	xi ge er	x i g e e r
f u e l l i n g	菲 林	fei lin	f e i l i n
c o c h r a n e	科 克 伦	ke ke lun	k e k e l u n
b e a k l e y	比 克 利	bi ke li	b i k e l i
h a r b a g e	哈 贝 奇	ha bei qi	h a b e i q i
g e t z i n	盖 津	gai jin	g a i j i n
t e s t	特 斯 特	te si te	t e s i t e
h o s a c k	霍 萨 克	huo sa ke	h u o s a k e
j e f f c o a t	杰 夫 科 特	jie fu ke te	j i e f u k e t e
r a t t e n	拉 滕	la teng	l a t e n g
g o l d b l a t t	戈 德 布 拉 特	ge de bu la te	g e d e b u l a t e
h u t s o n	赫 特 森	he te sen	h e t e s e n
h a m l i n	哈 姆 林	ha mu lin	h a m u l i n
c o s t a l e s	科 斯 塔 莱 斯	ke si ta lai si	k e s i t a l a i s i
t a l l o n	塔 隆	ta long	t a l o n g
t u k e	图 克	tu ke	t u k e
f o d e r i n g h a m	福 德 林 厄 姆	fu de lin e mu	f u d e l i n e m u
l e v i e r o	莱 维 罗	lai wei luo	l a i w e i l u o
h a f s t a d	哈 夫 斯 塔 德	ha fu si ta de	h a f u s i t a d e
o t t i n g	奥 廷	ao ting	a o t i n g
g r e i s i n g	格 雷 辛	ge lei xin	g e l e i x i n
b r e i h a n	布 雷 汉	bu lei han	b u l e i h a n
m a c c h l e r i c h	麦 克 莱 里 奇	mai ke lai li qi	m a i k e l a i l i q i
a n s l i n g e r	安 斯 林 格	an si lin ge	a n s i l i n g e
c u t k o s k y	库 特 科 斯 基	ku te ke si ji	k u t e k e s i j i
i s e m o n g e r	艾 斯 芒 格	ai si mang ge	a i s i m a n g g e
m a r i n g	马 林	ma lin	m a l i n
e y b e r g	艾 伯 格	ai bo ge	a i b o g e
s e n e k e r	塞 尼 克	sai ni ke	s a i n i k e
d a b i c h	达 比 奇	da bi qi	d a b i q i
l i n t e r n	林 特 恩	lin te en	l i n t e e n
a r d i s	阿 迪 斯	a di si	a d i s i
h e b s o n	赫 布 森	he bu sen	h e b u s e n
b a r n a t h a n	巴 纳 森	ba na sen	b a n a s e n
r a n d o l	兰 多 尔	lan duo er	l a n d u o e r
t a i n t o r	泰 恩 托	tai en tuo	t a i e n t u o
a l d i t h a	奥 尔 迪 莎	ao er di sha	a o e r d i s h a
s t a n g l i n	斯 坦 格 林	si tan ge lin	s i t a n g e l i n
p e e p l e s	皮 普 尔 斯	pi pu er si	p i p u e r s i
t r u e	特 鲁	te lu	t e l u
d a n k a n y i n	丹 卡 宁	dan ka ning	d a n k a n i n g
l a n g u m	兰 格 姆	lan ge mu	l a n g e m u
b a g g e r	巴 格 尔	ba ge er	b a g e e r
d i c k y	迪 基	di ji	d i j i
m i l a n i	米 拉 尼	mi la ni	m i l a n i
t e m p l e w o o d	坦 普 尔 伍 德	tan pu er wu de	t a n p u e r w u d e
o s v a l d o	奥 斯 瓦 尔 多	ao si wa er duo	a o s i w a e r d u o
s t a n b r i d g e	斯 坦 布 里 奇	si tan bu li qi	s i t a n b u l i q i
s t r a u t h e r	斯 特 劳 瑟	si te lao se	s i t e l a o s e
j a h n c k e	扬 克	yang ke	y a n g k e
k a h l e y	卡 利	ka li	k a l i
h a g n e r	哈 格 纳	ha ge na	h a g e n a
f u l b r i g h t	富 布 赖 特	fu bu lai te	f u b u l a i t e
b e r t e l s m a n	贝 特 尔 斯 曼	bei te er si man	b e i t e e r s i m a n
b e a t r i z	比 阿 特 丽 斯	bi a te li si	b i a t e l i s i
g r u e n t h a n e r	格 伦 撒 纳	ge lun sa na	g e l u n s a n a
g a g n e b i n	加 涅 班	jia nie ban	j i a n i e b a n
h u d g i n	赫 金	he jin	h e j i n
h a s k a r d	哈 斯 卡 德	ha si ka de	h a s i k a d e
c o l b e r g	科 尔 伯 格	ke er bo ge	k e e r b o g e
s a l t	索 尔 特	suo er te	s u o e r t e
t w i n i n g	特 文 宁	te wen ning	t e w e n n i n g
m e a l m a n	米 尔 曼	mi er man	m i e r m a n
c r i t c h e l y	克 里 奇 利	ke li qi li	k e l i q i l i
w a l l i n g e r	沃 林 格	wo lin ge	w o l i n g e
g u a r d i n o	瓜 尔 迪 诺	gua er di nuo	g u a e r d i n u o
g r e e n l i c k	格 林 利 克	ge lin li ke	g e l i n l i k e
g a t e w o o d	盖 特 伍 德	gai te wu de	g a i t e w u d e
g h i l e s	贾 尔 斯	jia er si	j i a e r s i
e r a z i m	伊 拉 齐 姆	yi la qi mu	y i l a q i m u
h o l u b	霍 勒 布	huo le bu	h u o l e b u
a i t k i n	艾 特 金	ai te jin	a i t e j i n
v e g a	维 加	wei jia	w e i j i a
e a g l s t e i n	伊 格 尔 斯 坦	yi ge er si tan	y i g e e r s i t a n
h o b s b a u m	霍 布 斯 鲍 姆	huo bu si bao mu	h u o b u s i b a o m u
c u l l w i c k	卡 尔 威 克	ka er wei ke	k a e r w e i k e
a l f i d i	阿 尔 菲 迪	a er fei di	a e r f e i d i
s o a m e s	索 姆 斯	suo mu si	s u o m u s i
y e a r i c k	耶 里 克	ye li ke	y e l i k e
h e i n d e l	海 因 德 尔	hai yin de er	h a i y i n d e e r
c o r a h	科 拉	ke la	k e l a
c o v e	科 夫	ke fu	k e f u
r o d r i g u e s	罗 德 里 格 斯	luo de li ge si	l u o d e l i g e s i
i s o b e l	伊 索 贝 尔	yi suo bei er	y i s u o b e i e r
n a c h t	纳 赫 特	na he te	n a h e t e
b e r g a n	伯 根	bo gen	b o g e n
a g u s	阿 古 斯	a gu si	a g u s i
g u i n t h e r	金 瑟	jin se	j i n s e
a u r i o l	奥 丽 奥 尔	ao li ao er	a o l i a o e r
b l e c h	布 莱 克	bu lai ke	b u l a i k e
k a r l s o n	卡 尔 森	ka er sen	k a e r s e n
m a x e y	马 克 西	ma ke xi	m a k e x i
r h e t t s	雷 茨	lei ci	l e i c i
i s l e s	艾 尔 斯	ai er si	a i e r s i
g r o e l	格 罗 尔	ge luo er	g e l u o e r
o k a y	奥 凯	ao kai	a o k a i
p a p l e y	帕 普 利	pa pu li	p a p u l i
f o r r i s t a l	福 里 斯 特 尔	fu li si te er	f u l i s i t e e r
b u s s	巴 斯	ba si	b a s i
g a s s m a n n	加 斯 曼	jia si man	j i a s i m a n
s i r i c h	赛 里 克	sai li ke	s a i l i k e
c y n a d e r	西 纳 德	xi na de	x i n a d e
p i p i c h	皮 比 奇	pi bi qi	p i b i q i
c l y n e	克 莱 因	ke lai yin	k e l a i y i n
t o u s s o n	图 森	tu sen	t u s e n
n e w t h	纽 思	niu si	n i u s i
j a c o t t e t	贾 科 泰	jia ke tai	j i a k e t a i
m n o o k i n	姆 努 金	mu nu jin	m u n u j i n
l o f s t r a n d	洛 夫 斯 特 兰 德	luo fu si te lan de	l u o f u s i t e l a n d e
p e e t	皮 特	pi te	p i t e
f o r g e r	福 杰	fu jie	f u j i e
k e l v i e	凯 尔 维	kai er wei	k a i e r w e i
e n t h o v e n	恩 托 文	en tuo wen	e n t u o w e n
b a g w i l l	巴 格 威 尔	ba ge wei er	b a g e w e i e r
r o s e n b e r g	罗 森 堡	luo sen bao	l u o s e n b a o
g o o d a i r	古 德 尔	gu de er	g u d e e r
s t r u v e	斯 特 鲁 韦	si te lu wei	s i t e l u w e i
d a s c h b a c h	达 施 巴 赫	da shi ba he	d a s h i b a h e
h e e s y	希 西	xi xi	x i x i
s y n g e	辛 格	xin ge	x i n g e
s h e r g o l d	舍 戈 尔 德	she ge er de	s h e g e e r d e
f u g a z y	富 加 齐	fu jia qi	f u j i a q i
d o u g l i s	杜 格 利 斯	du ge li si	d u g e l i s i
m u n i f	穆 尼 夫	mu ni fu	m u n i f u
l i n d l e y	林 德 利	lin de li	l i n d e l i
h a r r a w o o d	哈 拉 伍 德	ha la wu de	h a l a w u d e
a r r i g o	阿 里 戈	a li ge	a l i g e
m a c e l h e r a n	麦 克 尔 赫 伦	mai ke er he lun	m a i k e e r h e l u n
d r i m m e r	德 里 默	de li mo	d e l i m o
p r e s s p r i c h	普 雷 斯 普 里 奇	pu lei si pu li qi	p u l e i s i p u l i q i
r u s t	拉 斯 特	la si te	l a s i t e
j e u c k	约 伊 克	yue yi ke	y u e y i k e
